
INST_WB = xxxxxxxx, PC_DEBUG = xxxxxxxx, O_CTRL = x, O_INSN_VLD = x, O_MISPREDICT= x,, LED_REG = xxxxxxxx, RD_ADDR = xx, WB_DATA = xxxxxxxx, time =                    0
INST_WB = 00a28023, PC_DEBUG = 00000014, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 00000041, RD_ADDR = 00, WB_DATA = 00000000, time =                17864
AINST_WB = 00008067, PC_DEBUG = 00000018, O_CTRL = 1, O_INSN_VLD = 1, O_MISPREDICT= 1,, LED_REG = 00000041, RD_ADDR = 00, WB_DATA = 0000001c, time =                17868
INST_WB = 05300513, PC_DEBUG = 00000050, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 00000041, RD_ADDR = 0a, WB_DATA = 00000053, time =                17884
INST_WB = fb9ff0ef, PC_DEBUG = 00000054, O_CTRL = 1, O_INSN_VLD = 1, O_MISPREDICT= 1,, LED_REG = 00000041, RD_ADDR = 01, WB_DATA = 00000058, time =                17888
INST_WB = 100002b7, PC_DEBUG = 0000000c, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 00000041, RD_ADDR = 05, WB_DATA = 10000000, time =                17904
INST_WB = 00028293, PC_DEBUG = 00000010, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 00000041, RD_ADDR = 05, WB_DATA = 10000000, time =                17908
INST_WB = 00a28023, PC_DEBUG = 00000014, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 00000053, RD_ADDR = 00, WB_DATA = 00000000, time =                17912
SINST_WB = 00008067, PC_DEBUG = 00000018, O_CTRL = 1, O_INSN_VLD = 1, O_MISPREDICT= 1,, LED_REG = 00000053, RD_ADDR = 00, WB_DATA = 0000001c, time =                17916
INST_WB = 05300513, PC_DEBUG = 00000058, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 00000053, RD_ADDR = 0a, WB_DATA = 00000053, time =                17932
INST_WB = fb1ff0ef, PC_DEBUG = 0000005c, O_CTRL = 1, O_INSN_VLD = 1, O_MISPREDICT= 1,, LED_REG = 00000053, RD_ADDR = 01, WB_DATA = 00000060, time =                17936
INST_WB = 100002b7, PC_DEBUG = 0000000c, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 00000053, RD_ADDR = 05, WB_DATA = 10000000, time =                17952
INST_WB = 00028293, PC_DEBUG = 00000010, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 00000053, RD_ADDR = 05, WB_DATA = 10000000, time =                17956
INST_WB = 00a28023, PC_DEBUG = 00000014, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 00000053, RD_ADDR = 00, WB_DATA = 00000000, time =                17960
SINST_WB = 00008067, PC_DEBUG = 00000018, O_CTRL = 1, O_INSN_VLD = 1, O_MISPREDICT= 1,, LED_REG = 00000053, RD_ADDR = 00, WB_DATA = 0000001c, time =                17964
INST_WB = 00d00513, PC_DEBUG = 00000060, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 00000053, RD_ADDR = 0a, WB_DATA = 0000000d, time =                17980
INST_WB = fa9ff0ef, PC_DEBUG = 00000064, O_CTRL = 1, O_INSN_VLD = 1, O_MISPREDICT= 1,, LED_REG = 00000053, RD_ADDR = 01, WB_DATA = 00000068, time =                17984
INST_WB = 100002b7, PC_DEBUG = 0000000c, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 00000053, RD_ADDR = 05, WB_DATA = 10000000, time =                18000
INST_WB = 00028293, PC_DEBUG = 00000010, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 00000053, RD_ADDR = 05, WB_DATA = 10000000, time =                18004
INST_WB = 00a28023, PC_DEBUG = 00000014, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 0000000d, RD_ADDR = 00, WB_DATA = 00000000, time =                18008

INST_WB = 00008067, PC_DEBUG = 00000018, O_CTRL = 1, O_INSN_VLD = 1, O_MISPREDICT= 1,, LED_REG = 0000000d, RD_ADDR = 00, WB_DATA = 0000001c, time =                18012
INST_WB = 00a00513, PC_DEBUG = 00000068, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 0000000d, RD_ADDR = 0a, WB_DATA = 0000000a, time =                18028
INST_WB = fa1ff0ef, PC_DEBUG = 0000006c, O_CTRL = 1, O_INSN_VLD = 1, O_MISPREDICT= 1,, LED_REG = 0000000d, RD_ADDR = 01, WB_DATA = 00000070, time =                18032
INST_WB = 100002b7, PC_DEBUG = 0000000c, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 0000000d, RD_ADDR = 05, WB_DATA = 10000000, time =                18048
INST_WB = 00028293, PC_DEBUG = 00000010, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 0000000d, RD_ADDR = 05, WB_DATA = 10000000, time =                18052
INST_WB = 00a28023, PC_DEBUG = 00000014, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 0000000a, RD_ADDR = 00, WB_DATA = 00000000, time =                18056

INST_WB = 00008067, PC_DEBUG = 00000018, O_CTRL = 1, O_INSN_VLD = 1, O_MISPREDICT= 1,, LED_REG = 0000000a, RD_ADDR = 00, WB_DATA = 0000001c, time =                18060
INST_WB = 00012083, PC_DEBUG = 00000070, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 0000000a, RD_ADDR = 01, WB_DATA = 00001058, time =                18076
INST_WB = 00000013, PC_DEBUG = 00000070, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 0000000a, RD_ADDR = 00, WB_DATA = 00001058, time =                18080
INST_WB = 00008067, PC_DEBUG = 00000074, O_CTRL = 1, O_INSN_VLD = 1, O_MISPREDICT= 1,, LED_REG = 0000000a, RD_ADDR = 00, WB_DATA = 00000078, time =                18084
INST_WB = 00412083, PC_DEBUG = 00001058, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 0000000a, RD_ADDR = 01, WB_DATA = 00000120, time =                18100
INST_WB = 00000013, PC_DEBUG = 00001058, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 0000000a, RD_ADDR = 00, WB_DATA = 00000120, time =                18104
INST_WB = 00008067, PC_DEBUG = 0000105c, O_CTRL = 1, O_INSN_VLD = 1, O_MISPREDICT= 1,, LED_REG = 0000000a, RD_ADDR = 00, WB_DATA = 00001060, time =                18108
INST_WB = 741000ef, PC_DEBUG = 00000120, O_CTRL = 1, O_INSN_VLD = 1, O_MISPREDICT= 1,, LED_REG = 0000000a, RD_ADDR = 01, WB_DATA = 00000124, time =                18124
INST_WB = 00112223, PC_DEBUG = 00001060, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 0000000a, RD_ADDR = 04, WB_DATA = 00000000, time =                18140
INST_WB = 06c00513, PC_DEBUG = 00001064, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 0000000a, RD_ADDR = 0a, WB_DATA = 0000006c, time =                18144
INST_WB = fa5fe0ef, PC_DEBUG = 00001068, O_CTRL = 1, O_INSN_VLD = 1, O_MISPREDICT= 1,, LED_REG = 0000000a, RD_ADDR = 01, WB_DATA = 0000106c, time =                18148
INST_WB = 100002b7, PC_DEBUG = 0000000c, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 0000000a, RD_ADDR = 05, WB_DATA = 10000000, time =                18164
INST_WB = 00028293, PC_DEBUG = 00000010, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 0000000a, RD_ADDR = 05, WB_DATA = 10000000, time =                18168
INST_WB = 00a28023, PC_DEBUG = 00000014, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 0000006c, RD_ADDR = 00, WB_DATA = 00000000, time =                18172
lINST_WB = 00008067, PC_DEBUG = 00000018, O_CTRL = 1, O_INSN_VLD = 1, O_MISPREDICT= 1,, LED_REG = 0000006c, RD_ADDR = 00, WB_DATA = 0000001c, time =                18176
INST_WB = 07700513, PC_DEBUG = 0000106c, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 0000006c, RD_ADDR = 0a, WB_DATA = 00000077, time =                18192
INST_WB = f9dfe0ef, PC_DEBUG = 00001070, O_CTRL = 1, O_INSN_VLD = 1, O_MISPREDICT= 1,, LED_REG = 0000006c, RD_ADDR = 01, WB_DATA = 00001074, time =                18196
INST_WB = 100002b7, PC_DEBUG = 0000000c, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 0000006c, RD_ADDR = 05, WB_DATA = 10000000, time =                18212
INST_WB = 00028293, PC_DEBUG = 00000010, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 0000006c, RD_ADDR = 05, WB_DATA = 10000000, time =                18216
INST_WB = 00a28023, PC_DEBUG = 00000014, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 00000077, RD_ADDR = 00, WB_DATA = 00000000, time =                18220
wINST_WB = 00008067, PC_DEBUG = 00000018, O_CTRL = 1, O_INSN_VLD = 1, O_MISPREDICT= 1,, LED_REG = 00000077, RD_ADDR = 00, WB_DATA = 0000001c, time =                18224
INST_WB = 02e00513, PC_DEBUG = 00001074, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 00000077, RD_ADDR = 0a, WB_DATA = 0000002e, time =                18240
INST_WB = f95fe0ef, PC_DEBUG = 00001078, O_CTRL = 1, O_INSN_VLD = 1, O_MISPREDICT= 1,, LED_REG = 00000077, RD_ADDR = 01, WB_DATA = 0000107c, time =                18244
INST_WB = 100002b7, PC_DEBUG = 0000000c, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 00000077, RD_ADDR = 05, WB_DATA = 10000000, time =                18260
INST_WB = 00028293, PC_DEBUG = 00000010, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 00000077, RD_ADDR = 05, WB_DATA = 10000000, time =                18264
INST_WB = 00a28023, PC_DEBUG = 00000014, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 0000002e, RD_ADDR = 00, WB_DATA = 00000000, time =                18268
.INST_WB = 00008067, PC_DEBUG = 00000018, O_CTRL = 1, O_INSN_VLD = 1, O_MISPREDICT= 1,, LED_REG = 0000002e, RD_ADDR = 00, WB_DATA = 0000001c, time =                18272
INST_WB = 02e00513, PC_DEBUG = 0000107c, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 0000002e, RD_ADDR = 0a, WB_DATA = 0000002e, time =                18288
INST_WB = f8dfe0ef, PC_DEBUG = 00001080, O_CTRL = 1, O_INSN_VLD = 1, O_MISPREDICT= 1,, LED_REG = 0000002e, RD_ADDR = 01, WB_DATA = 00001084, time =                18292
INST_WB = 100002b7, PC_DEBUG = 0000000c, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 0000002e, RD_ADDR = 05, WB_DATA = 10000000, time =                18308
INST_WB = 00028293, PC_DEBUG = 00000010, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 0000002e, RD_ADDR = 05, WB_DATA = 10000000, time =                18312
INST_WB = 00a28023, PC_DEBUG = 00000014, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 0000002e, RD_ADDR = 00, WB_DATA = 00000000, time =                18316
.INST_WB = 00008067, PC_DEBUG = 00000018, O_CTRL = 1, O_INSN_VLD = 1, O_MISPREDICT= 1,, LED_REG = 0000002e, RD_ADDR = 00, WB_DATA = 0000001c, time =                18320
INST_WB = 02e00513, PC_DEBUG = 00001084, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 0000002e, RD_ADDR = 0a, WB_DATA = 0000002e, time =                18336
INST_WB = f85fe0ef, PC_DEBUG = 00001088, O_CTRL = 1, O_INSN_VLD = 1, O_MISPREDICT= 1,, LED_REG = 0000002e, RD_ADDR = 01, WB_DATA = 0000108c, time =                18340
INST_WB = 100002b7, PC_DEBUG = 0000000c, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 0000002e, RD_ADDR = 05, WB_DATA = 10000000, time =                18356
INST_WB = 00028293, PC_DEBUG = 00000010, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 0000002e, RD_ADDR = 05, WB_DATA = 10000000, time =                18360
INST_WB = 00a28023, PC_DEBUG = 00000014, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 0000002e, RD_ADDR = 00, WB_DATA = 00000000, time =                18364
.INST_WB = 00008067, PC_DEBUG = 00000018, O_CTRL = 1, O_INSN_VLD = 1, O_MISPREDICT= 1,, LED_REG = 0000002e, RD_ADDR = 00, WB_DATA = 0000001c, time =                18368
INST_WB = 02e00513, PC_DEBUG = 0000108c, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 0000002e, RD_ADDR = 0a, WB_DATA = 0000002e, time =                18384
INST_WB = f7dfe0ef, PC_DEBUG = 00001090, O_CTRL = 1, O_INSN_VLD = 1, O_MISPREDICT= 1,, LED_REG = 0000002e, RD_ADDR = 01, WB_DATA = 00001094, time =                18388
INST_WB = 100002b7, PC_DEBUG = 0000000c, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 0000002e, RD_ADDR = 05, WB_DATA = 10000000, time =                18404
INST_WB = 00028293, PC_DEBUG = 00000010, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 0000002e, RD_ADDR = 05, WB_DATA = 10000000, time =                18408
INST_WB = 00a28023, PC_DEBUG = 00000014, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 0000002e, RD_ADDR = 00, WB_DATA = 00000000, time =                18412
.INST_WB = 00008067, PC_DEBUG = 00000018, O_CTRL = 1, O_INSN_VLD = 1, O_MISPREDICT= 1,, LED_REG = 0000002e, RD_ADDR = 00, WB_DATA = 0000001c, time =                18416
INST_WB = 123458b7, PC_DEBUG = 00001094, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 0000002e, RD_ADDR = 11, WB_DATA = 12345000, time =                18432
INST_WB = 67888893, PC_DEBUG = 00001098, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 0000002e, RD_ADDR = 11, WB_DATA = 12345678, time =                18436
INST_WB = deadc837, PC_DEBUG = 0000109c, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 0000002e, RD_ADDR = 10, WB_DATA = deadc000, time =                18440
INST_WB = eef80813, PC_DEBUG = 000010a0, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 0000002e, RD_ADDR = 10, WB_DATA = deadbeef, time =                18444
INST_WB = 00003337, PC_DEBUG = 000010a4, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 0000002e, RD_ADDR = 06, WB_DATA = 00003000, time =                18448
INST_WB = 00030313, PC_DEBUG = 000010a8, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 0000002e, RD_ADDR = 06, WB_DATA = 00003000, time =                18452
INST_WB = 01132023, PC_DEBUG = 000010ac, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 0000002e, RD_ADDR = 00, WB_DATA = 00000000, time =                18456
INST_WB = 01032223, PC_DEBUG = 000010b0, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 0000002e, RD_ADDR = 04, WB_DATA = 00000000, time =                18460
INST_WB = 00032283, PC_DEBUG = 000010b4, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 0000002e, RD_ADDR = 05, WB_DATA = 12345678, time =                18464
INST_WB = 00000013, PC_DEBUG = 000010b4, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 0000002e, RD_ADDR = 00, WB_DATA = 12345678, time =                18468
INST_WB = 00589a63, PC_DEBUG = 000010b8, O_CTRL = 1, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 0000002e, RD_ADDR = 14, WB_DATA = 00000000, time =                18472
INST_WB = 00080893, PC_DEBUG = 000010bc, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 0000002e, RD_ADDR = 11, WB_DATA = deadbeef, time =                18476
INST_WB = 00432283, PC_DEBUG = 000010c0, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 0000002e, RD_ADDR = 05, WB_DATA = deadbeef, time =                18480
INST_WB = 00000013, PC_DEBUG = 000010c0, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 0000002e, RD_ADDR = 00, WB_DATA = deadbeef, time =                18484
INST_WB = 00589463, PC_DEBUG = 000010c4, O_CTRL = 1, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 0000002e, RD_ADDR = 08, WB_DATA = 00000000, time =                18488
INST_WB = 00c0006f, PC_DEBUG = 000010c8, O_CTRL = 1, O_INSN_VLD = 1, O_MISPREDICT= 1,, LED_REG = 0000002e, RD_ADDR = 00, WB_DATA = 000010cc, time =                18492
INST_WB = f51fe0ef, PC_DEBUG = 000010d4, O_CTRL = 1, O_INSN_VLD = 1, O_MISPREDICT= 1,, LED_REG = 0000002e, RD_ADDR = 01, WB_DATA = 000010d8, time =                18508
INST_WB = 00112023, PC_DEBUG = 00000024, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 0000002e, RD_ADDR = 00, WB_DATA = 00000000, time =                18524
INST_WB = 02e00513, PC_DEBUG = 00000028, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 0000002e, RD_ADDR = 0a, WB_DATA = 0000002e, time =                18528
INST_WB = fe1ff0ef, PC_DEBUG = 0000002c, O_CTRL = 1, O_INSN_VLD = 1, O_MISPREDICT= 1,, LED_REG = 0000002e, RD_ADDR = 01, WB_DATA = 00000030, time =                18532
INST_WB = 100002b7, PC_DEBUG = 0000000c, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 0000002e, RD_ADDR = 05, WB_DATA = 10000000, time =                18548
INST_WB = 00028293, PC_DEBUG = 00000010, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 0000002e, RD_ADDR = 05, WB_DATA = 10000000, time =                18552
INST_WB = 00a28023, PC_DEBUG = 00000014, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 0000002e, RD_ADDR = 00, WB_DATA = 00000000, time =                18556
.INST_WB = 00008067, PC_DEBUG = 00000018, O_CTRL = 1, O_INSN_VLD = 1, O_MISPREDICT= 1,, LED_REG = 0000002e, RD_ADDR = 00, WB_DATA = 0000001c, time =                18560
INST_WB = 02e00513, PC_DEBUG = 00000030, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 0000002e, RD_ADDR = 0a, WB_DATA = 0000002e, time =                18576
INST_WB = fd9ff0ef, PC_DEBUG = 00000034, O_CTRL = 1, O_INSN_VLD = 1, O_MISPREDICT= 1,, LED_REG = 0000002e, RD_ADDR = 01, WB_DATA = 00000038, time =                18580
INST_WB = 100002b7, PC_DEBUG = 0000000c, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 0000002e, RD_ADDR = 05, WB_DATA = 10000000, time =                18596
INST_WB = 00028293, PC_DEBUG = 00000010, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 0000002e, RD_ADDR = 05, WB_DATA = 10000000, time =                18600
INST_WB = 00a28023, PC_DEBUG = 00000014, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 0000002e, RD_ADDR = 00, WB_DATA = 00000000, time =                18604
.INST_WB = 00008067, PC_DEBUG = 00000018, O_CTRL = 1, O_INSN_VLD = 1, O_MISPREDICT= 1,, LED_REG = 0000002e, RD_ADDR = 00, WB_DATA = 0000001c, time =                18608
INST_WB = 02e00513, PC_DEBUG = 00000038, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 0000002e, RD_ADDR = 0a, WB_DATA = 0000002e, time =                18624
INST_WB = fd1ff0ef, PC_DEBUG = 0000003c, O_CTRL = 1, O_INSN_VLD = 1, O_MISPREDICT= 1,, LED_REG = 0000002e, RD_ADDR = 01, WB_DATA = 00000040, time =                18628
INST_WB = 100002b7, PC_DEBUG = 0000000c, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 0000002e, RD_ADDR = 05, WB_DATA = 10000000, time =                18644
INST_WB = 00028293, PC_DEBUG = 00000010, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 0000002e, RD_ADDR = 05, WB_DATA = 10000000, time =                18648
INST_WB = 00a28023, PC_DEBUG = 00000014, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 0000002e, RD_ADDR = 00, WB_DATA = 00000000, time =                18652
.INST_WB = 00008067, PC_DEBUG = 00000018, O_CTRL = 1, O_INSN_VLD = 1, O_MISPREDICT= 1,, LED_REG = 0000002e, RD_ADDR = 00, WB_DATA = 0000001c, time =                18656
INST_WB = 05000513, PC_DEBUG = 00000040, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 0000002e, RD_ADDR = 0a, WB_DATA = 00000050, time =                18672
INST_WB = fc9ff0ef, PC_DEBUG = 00000044, O_CTRL = 1, O_INSN_VLD = 1, O_MISPREDICT= 1,, LED_REG = 0000002e, RD_ADDR = 01, WB_DATA = 00000048, time =                18676
INST_WB = 100002b7, PC_DEBUG = 0000000c, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 0000002e, RD_ADDR = 05, WB_DATA = 10000000, time =                18692
INST_WB = 00028293, PC_DEBUG = 00000010, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 0000002e, RD_ADDR = 05, WB_DATA = 10000000, time =                18696
INST_WB = 00a28023, PC_DEBUG = 00000014, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 00000050, RD_ADDR = 00, WB_DATA = 00000000, time =                18700
PINST_WB = 00008067, PC_DEBUG = 00000018, O_CTRL = 1, O_INSN_VLD = 1, O_MISPREDICT= 1,, LED_REG = 00000050, RD_ADDR = 00, WB_DATA = 0000001c, time =                18704
INST_WB = 04100513, PC_DEBUG = 00000048, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 00000050, RD_ADDR = 0a, WB_DATA = 00000041, time =                18720
INST_WB = fc1ff0ef, PC_DEBUG = 0000004c, O_CTRL = 1, O_INSN_VLD = 1, O_MISPREDICT= 1,, LED_REG = 00000050, RD_ADDR = 01, WB_DATA = 00000050, time =                18724
INST_WB = 100002b7, PC_DEBUG = 0000000c, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 00000050, RD_ADDR = 05, WB_DATA = 10000000, time =                18740
INST_WB = 00028293, PC_DEBUG = 00000010, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 00000050, RD_ADDR = 05, WB_DATA = 10000000, time =                18744
INST_WB = 00a28023, PC_DEBUG = 00000014, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 00000041, RD_ADDR = 00, WB_DATA = 00000000, time =                18748
AINST_WB = 00008067, PC_DEBUG = 00000018, O_CTRL = 1, O_INSN_VLD = 1, O_MISPREDICT= 1,, LED_REG = 00000041, RD_ADDR = 00, WB_DATA = 0000001c, time =                18752
INST_WB = 05300513, PC_DEBUG = 00000050, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 00000041, RD_ADDR = 0a, WB_DATA = 00000053, time =                18768
INST_WB = fb9ff0ef, PC_DEBUG = 00000054, O_CTRL = 1, O_INSN_VLD = 1, O_MISPREDICT= 1,, LED_REG = 00000041, RD_ADDR = 01, WB_DATA = 00000058, time =                18772
INST_WB = 100002b7, PC_DEBUG = 0000000c, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 00000041, RD_ADDR = 05, WB_DATA = 10000000, time =                18788
INST_WB = 00028293, PC_DEBUG = 00000010, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 00000041, RD_ADDR = 05, WB_DATA = 10000000, time =                18792
INST_WB = 00a28023, PC_DEBUG = 00000014, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 00000053, RD_ADDR = 00, WB_DATA = 00000000, time =                18796
SINST_WB = 00008067, PC_DEBUG = 00000018, O_CTRL = 1, O_INSN_VLD = 1, O_MISPREDICT= 1,, LED_REG = 00000053, RD_ADDR = 00, WB_DATA = 0000001c, time =                18800
INST_WB = 05300513, PC_DEBUG = 00000058, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 00000053, RD_ADDR = 0a, WB_DATA = 00000053, time =                18816
INST_WB = fb1ff0ef, PC_DEBUG = 0000005c, O_CTRL = 1, O_INSN_VLD = 1, O_MISPREDICT= 1,, LED_REG = 00000053, RD_ADDR = 01, WB_DATA = 00000060, time =                18820
INST_WB = 100002b7, PC_DEBUG = 0000000c, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 00000053, RD_ADDR = 05, WB_DATA = 10000000, time =                18836
INST_WB = 00028293, PC_DEBUG = 00000010, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 00000053, RD_ADDR = 05, WB_DATA = 10000000, time =                18840
INST_WB = 00a28023, PC_DEBUG = 00000014, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 00000053, RD_ADDR = 00, WB_DATA = 00000000, time =                18844
SINST_WB = 00008067, PC_DEBUG = 00000018, O_CTRL = 1, O_INSN_VLD = 1, O_MISPREDICT= 1,, LED_REG = 00000053, RD_ADDR = 00, WB_DATA = 0000001c, time =                18848
INST_WB = 00d00513, PC_DEBUG = 00000060, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 00000053, RD_ADDR = 0a, WB_DATA = 0000000d, time =                18864
INST_WB = fa9ff0ef, PC_DEBUG = 00000064, O_CTRL = 1, O_INSN_VLD = 1, O_MISPREDICT= 1,, LED_REG = 00000053, RD_ADDR = 01, WB_DATA = 00000068, time =                18868
